date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:44	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jun%202019%2016:36:45%20GMT	https://hotgram.me/robots.txt		(from )
02:36:56	22143/22143	---MCZ	200	added ('OK')	text/html	etag:W/%225d0783c6-567f%22	https://hotgram.me/	C:/My%20Web%20Sites/hotgram/hotgram.me/index.html	(from )
02:36:57	8890/8890	---MCZ	200	added ('OK')	text/css	etag:W/%225d0783c6-22ba%22	https://hotgram.me/styles.29c71222a428dba0956c.css	C:/My%20Web%20Sites/hotgram/hotgram.me/styles.29c71222a428dba0956c.css	(from https://hotgram.me/)
02:36:57	79492/79492	---M--	200	added ('OK')	image/jpeg	etag:%225d0783f3-13684%22	https://hotgram.me/static/background-16a12e33b4c08ad2a5ee967fc334440a.jpg	C:/My%20Web%20Sites/hotgram/hotgram.me/static/background-16a12e33b4c08ad2a5ee967fc334440a.jpg	(from https://hotgram.me/)
02:36:57	3087/3087	---M--	200	added ('OK')	image/png	etag:%225d0783ed-c0f%22	https://hotgram.me/icons/icon-48x48.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-48x48435a.png	(from https://hotgram.me/)
02:36:58	979/979	---M--	200	added ('OK')	application/octet-stream	etag:%225d0783c6-3d3%22	https://hotgram.me/manifest.webmanifest	C:/My%20Web%20Sites/hotgram/hotgram.me/manifest.webmanifest	(from https://hotgram.me/)
02:36:58	4841/4841	---M--	200	added ('OK')	image/png	etag:%225d0783ec-12e9%22	https://hotgram.me/icons/icon-72x72.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-72x72435a.png	(from https://hotgram.me/)
02:36:58	6602/6602	---M--	200	added ('OK')	image/png	etag:%225d0783ed-19ca%22	https://hotgram.me/icons/icon-96x96.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-96x96435a.png	(from https://hotgram.me/)
02:36:58	10413/10413	---M--	200	added ('OK')	image/png	etag:%225d0783eb-28ad%22	https://hotgram.me/icons/icon-144x144.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-144x144435a.png	(from https://hotgram.me/)
02:36:59	14578/14578	---M--	200	added ('OK')	image/png	etag:%225d0783ec-38f2%22	https://hotgram.me/icons/icon-192x192.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-192x192435a.png	(from https://hotgram.me/)
02:36:59	20714/20714	---M--	200	added ('OK')	image/png	etag:%225d0783ee-50ea%22	https://hotgram.me/icons/icon-256x256.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-256x256435a.png	(from https://hotgram.me/)
02:37:01	35031/35031	---M--	200	added ('OK')	image/png	etag:%225d0783eb-88d7%22	https://hotgram.me/icons/icon-384x384.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-384x384435a.png	(from https://hotgram.me/)
02:37:01	38868/38868	---M--	200	added ('OK')	image/png	etag:%225d0783ee-97d4%22	https://hotgram.me/icons/icon-512x512.png?v=2e8bf30e1a51620a0ceec2ea2e57f345	C:/My%20Web%20Sites/hotgram/hotgram.me/icons/icon-512x512435a.png	(from https://hotgram.me/)
02:37:02	11953/11953	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c5-2eb1%22	https://hotgram.me/component---src-pages-index-js-e162b48b43d54a928d8f.js	C:/My%20Web%20Sites/hotgram/hotgram.me/component---src-pages-index-js-e162b48b43d54a928d8f.js	(from https://hotgram.me/)
02:37:02	33963/33963	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783be-84ab%22	https://hotgram.me/2-3fb0fb36ca6ccfb3b2b6.js	C:/My%20Web%20Sites/hotgram/hotgram.me/2-3fb0fb36ca6ccfb3b2b6.js	(from https://hotgram.me/)
02:37:03	18198/18198	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783be-4716%22	https://hotgram.me/0-ea1e1f9de66a2c2e19e9.js	C:/My%20Web%20Sites/hotgram/hotgram.me/0-ea1e1f9de66a2c2e19e9.js	(from https://hotgram.me/)
02:37:03	210229/210229	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c1-33535%22	https://hotgram.me/app-ad87a6b84f35486c4a1a.js	C:/My%20Web%20Sites/hotgram/hotgram.me/app-ad87a6b84f35486c4a1a.js	(from https://hotgram.me/)
02:37:03	139/139	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c6-8b%22	https://hotgram.me/styles-58902fdcc1275826a3d9.js	C:/My%20Web%20Sites/hotgram/hotgram.me/styles-58902fdcc1275826a3d9.js	(from https://hotgram.me/)
02:37:03	4444/4444	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c7-115c%22	https://hotgram.me/webpack-runtime-ab48f7ec25ccf903584a.js	C:/My%20Web%20Sites/hotgram/hotgram.me/webpack-runtime-ab48f7ec25ccf903584a.js	(from https://hotgram.me/)
02:37:04	55/55	---MCZ	200	added ('OK')	application/json	etag:W/%225d0783f5-37%22	https://hotgram.me/static/d/140/path---index-6a9-0SUcWyAf8ecbYDsMhQkEfPzV8.json	C:/My%20Web%20Sites/hotgram/hotgram.me/static/d/140/path---index-6a9-0SUcWyAf8ecbYDsMhQkEfPzV8.json	(from https://hotgram.me/)
02:37:04	2102/2102	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783c8-836%22	https://hotgram.me/assets/images/logo.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/logo.svg	(from https://hotgram.me/)
02:37:04	1037/1037	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783c7-40d%22	https://hotgram.me/assets/images/android.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/android.svg	(from https://hotgram.me/)
02:37:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jun%202019%2016:37:06%20GMT	https://hotgram.me/how-to-install-fa	C:/My%20Web%20Sites/hotgram/hotgram.me/how-to-install-fa	(from https://hotgram.me/)
02:37:06	17679/17679	---MCZ	200	added ('OK')	text/html	etag:W/%225d0783e8-450f%22	https://hotgram.me/how-to-install-fa/	C:/My%20Web%20Sites/hotgram/hotgram.me/how-to-install-fa/index.html	(from https://hotgram.me/)
02:37:06	7630/7630	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cd-1dce%22	https://hotgram.me/assets/images/features/1.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/1.svg	(from https://hotgram.me/)
02:37:06	7393/7393	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cb-1ce1%22	https://hotgram.me/assets/images/features/2.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/2.svg	(from https://hotgram.me/)
02:37:06	7646/7646	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cd-1dde%22	https://hotgram.me/assets/images/features/3.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/3.svg	(from https://hotgram.me/)
02:37:07	3912/3912	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cb-f48%22	https://hotgram.me/assets/images/features/4.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/4.svg	(from https://hotgram.me/)
02:37:07	15219/15219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cf-3b73%22	https://hotgram.me/assets/images/features/5.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/5.svg	(from https://hotgram.me/)
02:37:07	6515/6515	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783ce-1973%22	https://hotgram.me/assets/images/features/6.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/6.svg	(from https://hotgram.me/)
02:37:08	12728/12728	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d0783cc-31b8%22	https://hotgram.me/assets/images/features/7.svg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/features/7.svg	(from https://hotgram.me/)
